"address";"value"
"dXUWsBXDVQTAUjPXsXS1WE1DSDPZuRpAfR";"4028.85875274"
"dPHUFRa5in5YK27Ejydm9BEQMR8iN8s3cN";"3862.02209221"
"dKFFgH6wVWw7E2qtedNNx4aRqdYQxMmHL8";"3794.14325146"
"dbRLYvVAWKnUBz5pX5yo7otRHUvokyBBz4";"3551.83053843"
"dXHo3dhp8VFmcCeAZZG64xPjtLB3KR6W9n";"3503.75000001"
"dLwfBZ89n7Q5UMTKjqzoeHTbTczPSxsmRE";"3438.55806887"
"dbRoZAvdszeFxTYnf4xQQHAbXow4Uxwwh5";"3386.77232327"
"dDzf6pvTV63wFFw3nTZyGv4ZysKitnySPZ";"3231.10879535"
"dLVZ9Ufu8xc1ZZJkK2kRXGnjVFZqpmKkPu";"3210.00000001"
"dXSeTrtvGF6aZJrmqmQqrrtMTJsoumXjhU";"3166.90420719"
"dcgrvuRDsev9KJ2nyYa9rSSXB3ejpYjZTo";"3132.61364116"
"dHmgucq2LD2CE5p1z2T2wSL3SUMTEm4D2D";"3088.76725091"
"dYFUjiRYMQSSmozzrUYWUgUZfXbQV2w5Kn";"3084.56684728"
"dJY8HrcRsYpiZpLuUWsnrWrixNAkr9MMKP";"3077.81143136"
"dXuvRykgVxUzjnx4KZEXWJJLNYNoRrrzbp";"3068.2351341"
"dTpY7Hqg8d7nfDTnAZsHZNgaFHJ6YFNARs";"3042.33346893"
"dHnWkx3La2g1JV24DQTP3qRCSgohonGm98";"2999.99800001"
"dELqPD6PxSZgyRP6fg21WdJu1ZZ4bSRLzJ";"2968.95441129"
"dG8QznoHTRzfM2Lhu9AD8TPAmF3BMLfFgC";"2858.51122426"
"dTXK6uharkxJSTPLftTmxyf8KZnujoLnQQ";"2840.00000001"
"dNTn8z6MkToS1QUvV54T6BrQHrgJiYF7Gs";"2833.28077126"
"dbCW4w5wMfV9mBusd5be5T3Kme2zmwdAUG";"2812.5277024"
"dTued2am59Tm3yX2VmVwNBUP78sfsZ57GN";"2802.23783437"
"dTqppE1JB7keJ1zzRzHuNFyZZBfLP5Afkx";"2669.27571892"
